n,ila
586,38053
587,10428
588,51598
589,53297
590,-20464
591,38621
592,30880
593,60583
594,4366
595,-12489
596,8043
597,26366
598,96580
599,107100
600,7495
601,1921
602,-33446
603,55599
604,2202
605,36972
606,22866
607,-9163
608,91298
609,43577
610,125762
611,156801
612,183098
613,170018
614,71687
615,114399
616,140662
617,133368
618,119538
619,68990
620,26376
621,-22467
622,24110
623,18619
624,-33246
625,-84583
626,-96416
627,-59200
628,-2434
629,-5947
630,-74362
631,-98577
632,-107293
633,-144741
634,-162070
635,-109185
636,-118895
637,-129664
638,-143931
639,-85243
640,-49657
641,-73660
642,-46406
643,-143939
644,-152830
645,-139264
646,-87959
647,-85377
648,-73195
649,18559
650,-11360
651,47347
652,146
653,89968
654,83917
655,13329
656,48205
657,77279
658,146082
659,70527
660,23253
661,11085
662,85107
663,106190
664,104606
665,122937
666,84144
667,111701
668,96560
669,56640
670,70249
671,120728
672,141622
673,38498
674,-61940
675,-3224
676,80450
677,3507
678,1053
679,-62081
680,-16758
681,266
682,-48972
683,-2392
684,-37719
685,-4523
686,-36581
687,-72577
688,-59028
689,-42776
690,-75790
691,-80432
692,-54347
693,-35929
694,-41576
695,-43331
696,-30096
697,-41206
698,-75270
699,-30463
700,-22981
701,-73372
702,-4615
703,27678
704,-68221
705,-75512
706,-89150
707,30045
708,52613
709,22927
710,26497
711,-2578
712,78211
713,49814
714,52113
715,-1142
716,57741
717,102780
718,53355
719,109430
720,53519
721,126403
722,133105
723,97436
724,127478
725,76457
726,75516
727,47345
728,53469
729,43231
730,32426
731,16048
732,63766
733,12366
734,-46180
735,-42786
736,-71320
737,-48831
738,-103050
739,-129687
740,-56472
741,-46780
742,-38641
743,-66752
744,-168632
745,-172826
746,-136742
747,-19494
748,-19314
749,-104073
750,-91370
751,-54892
752,-30137
753,-67225
754,3781
755,-10880
756,12274
757,45212
758,69520
759,93621
760,70004
761,92671
762,53666
763,42101
764,90573
765,98584
766,110473
767,61255
768,109407
769,163815
770,131194
771,147290
772,77084
773,159519
774,108297
775,72250
776,69445
777,66542
778,47874
779,-53095
780,-46185
781,-54956
782,-85710
783,-58923
784,-68566
785,-79667
786,-73285
787,-80632
788,-22582
789,-99304
790,-75834
791,-40965
792,-57546
793,-72997
794,-135474
795,-133935
796,-109593
797,-65259
798,-65294
799,-53836
800,-78887
801,-32862
802,35407
803,53025
804,30197
805,10675
806,6644
807,18816
808,64988
809,67454
810,127620
811,131849
812,85705
813,56253
814,28683
815,118196
816,105483
817,39321
818,23876
819,71466
820,106763
821,75681
822,71957
823,29914
824,-20613
825,-23761
826,-39386
827,-61645
828,-72569
829,-103539
830,-32305
831,-95619
832,-82069
833,-101896
834,-73761
835,-72904
836,-121775
837,-68326
838,-101557
839,-51703
840,-179131
841,-80509
842,-14047
843,-5387
844,15427
845,-58934
846,2973
847,12655
848,16289
849,72867
850,64949
851,47605
852,80227
853,70632
854,142424
855,107767
856,60929
857,96806
858,110831
859,143956
860,99636
861,72637
862,50634
863,67807
864,56397
865,25718
866,25505
867,35291
868,21018
869,-35395
870,-25943
871,-43831
872,-10449
873,-65953
874,-25890
875,-66833
876,-97741
877,-110488
878,-130040
879,-106254
880,-123942
881,-99554
882,-100878
883,-76914
884,-75307
885,-55576
886,-76811
887,-30203
888,-1749
889,18759
890,4398
891,21636
892,23158
893,42926
894,50289
895,50029
896,94530
897,62962
898,64848
899,75140
900,62454
901,93452
902,74525
903,104810
904,76796
905,50903
906,45407
907,24516
908,65250
909,-11231
910,-19256
911,-95822
912,-110811
913,-106949
914,-95021
915,-72676
916,-114156
917,-147868
918,-120970
919,-83312
920,-82902
921,-95271
922,-77663
923,-63546
924,-99210
925,-93555
926,-97021
927,-46954
928,-16714
929,-15961
930,-19678
931,-25761
932,60615
933,51923
934,41286
935,56932
936,123412
937,131011
938,76615
939,95608
940,122183
941,150449
942,92231
943,88636
944,57920
945,56376
946,61395
947,16782
948,-9634
949,-7404
950,14158
951,-19478
952,-101916
953,-105853
954,-73840
955,-69288
956,-105324
957,-130997
958,-130818
959,-108590
960,-106639
961,-104039
962,-130808
963,-96917
964,-48923
965,-51826
966,-32641
967,-43405
968,28307
969,50170
970,18523
971,12446
972,22511
973,61247
974,85749
975,95889
976,136348
977,127919
978,121101
979,98010
980,89752
981,79833
982,39820
983,40777
984,1726
985,3411
986,-17041
987,-13356
988,2822
989,-22494
990,-48406
991,-84099
992,-103976
993,-108551
994,-92393
995,-99770
996,-130641
997,-127464
998,-81429
999,-56995
1000,-73038
1001,-87292
1002,-25624
1003,1180
1004,-8830
1005,20694
1006,51485
1007,68783
1008,84205
1009,83112
1010,138392
1011,128374
1012,145149
1013,123202
1014,114463
1015,116832
1016,75471
1017,75115
1018,63363
1019,60426
1020,32652
1021,-23550
1022,-20709
1023,2424
1024,-46054
1025,-55368
1026,-81024
1027,-74049
1028,-89560
1029,-111390
1030,-92362
1031,-95404
1032,-115381
1033,-104964
1034,-77439
1035,-51031
1036,-38757
1037,-66786
1038,-34671
1039,499
1040,13669
1041,15461
1042,7961
1043,48841
1044,64559
1045,86879
1046,92132
1047,96137
1048,89862
1049,78732
1050,105845
1051,97278
1052,109943
1053,73608
1054,31716
1055,48727
1056,40450
1057,11194
1058,-41211
1059,-59323
1060,-30654
1061,-58885
1062,-91060
1063,-98092
1064,-117838
1065,-75653
1066,-111121
1067,-96244
1068,-83692
1069,-86388
1070,-65020
1071,-76804
1072,-20504
1073,-11239
1074,14144
1075,25513
1076,46011
1077,68495
1078,48292
1079,70055
1080,91146
1081,96601
1082,73888
1083,96005
1084,110230
1085,85356
1086,66124
1087,49457
1088,68095
1089,60689
1090,15440
1091,-389
1092,-10291
1093,-11139
1094,-41992
1095,-90366
1096,-90643
1097,-89680
1098,-114293
1099,-95726
1100,-92079
1101,-96755
1102,-64715
1103,-96450
1104,-65837
1105,-21319
1106,-27824
1107,6069
1108,-37917
1109,22031
1110,45604
1111,53794
1112,72399
1113,83644
1114,139128
1115,95715
1116,117290
1117,101284
1118,142807
1119,104550
1120,63943
1121,58380
1122,57582
1123,51311
1124,-12364
1125,-32936
1126,-34362
1127,-54134
1128,-70165
1129,-89371
1130,-122806
1131,-118169
1132,-109340
1133,-101824
1134,-95904
1135,-106343
1136,-75115
1137,-52564
1138,-45763
1139,-7984
1140,11954
1141,29472
1142,53509
1143,38607
1144,85562
1145,117019
1146,89252
1147,109138
1148,77964
1149,113290
1150,99457
1151,67472
1152,69542
1153,44967
1154,66377
1155,4872
1156,-37947
1157,-29850
1158,-52390
1159,-40966
1160,-62488
1161,-95064
1162,-98043
1163,-110704
1164,-96947
1165,-76515
1166,-103147
1167,-83670
1168,-66510
1169,-59440
1170,-25684
1171,-30028
1172,14882
1173,25966
1174,28801
1175,62651
1176,73406
1177,109155
1178,95765
1179,87449
1180,107483
1181,88913
1182,91924
1183,69346
1184,80665
1185,62174
1186,16537
1187,6467
1188,-34296
1189,-21294
1190,-43473
1191,-58914
1192,-54830
1193,-106924
1194,-107673
1195,-97598
1196,-98449
1197,-75733
1198,-70711
1199,-55135
1200,-66454
1201,-18253
1202,33868
1203,9255
1204,33588
1205,56982
1206,104025
1207,103088
1208,86115
1209,87976
1210,116591
1211,106247
1212,86170
1213,90943
1214,50039
1215,42429
1216,20416
1217,860
1218,4048
1219,-63731
1220,-63472
1221,-80782
1222,-98516
1223,-72006
1224,-142319
1225,-87417
1226,-113301
1227,-99880
1228,-48246
1229,-80236
1230,-46038
1231,-15099
1232,2955
1233,36845
1234,48904
1235,38905
1236,97390
1237,77828
1238,99705
1239,134191
1240,87562
1241,103871
1242,59900
1243,79375
1244,76017
1245,39631
1246,13012
1247,-14073
1248,-27144
1249,-54193
1250,-69416
1251,-84744
1252,-93527
1253,-97454
1254,-99573
1255,-77529
1256,-74052
1257,-85970
1258,-70328
1259,-59161
1260,-27962
1261,-9496
1262,24744
1263,52165
1264,34537
1265,67106
1266,82518
1267,95205
1268,119551
1269,103442
1270,89124
1271,103951
1272,68643
1273,28982
1274,24965
1275,2983
1276,8240
1277,-37756
1278,-45723
1279,-67130
1280,-77267
1281,-100925
1282,-118989
1283,-90019
1284,-88183
1285,-70405
1286,-85172
1287,-71138
1288,-30285
1289,-1221
1290,-12605
1291,21452
1292,47962
1293,53662
1294,85055
1295,92538
1296,111848
1297,105851
1298,97661
1299,82962
1300,94748
1301,63241
1302,26138
1303,-3914
1304,-26932
1305,3942
1306,-35256
1307,-98786
1308,-95738
1309,-63975
1310,-86278
1311,-119161
1312,-119215
1313,-93742
1314,-81091
1315,-45945
1316,-12964
1317,-11582
1318,11723
1319,5520
1320,49574
1321,84169
1322,81126
1323,89728
1324,95609
1325,108186
1326,84608
1327,69862
1328,76545
1329,80032
1330,59146
1331,-3742
1332,-56431
1333,-50177
1334,-53512
1335,-96536
1336,-90788
1337,-97846
1338,-92944
1339,-94629
1340,-90014
1341,-54590
1342,-67486
1343,-38282
1344,-36187
1345,6825
1346,33270
1347,46037
1348,87242
1349,80958
1350,99040
1351,97479
1352,88863
1353,78119
1354,61965
1355,94055
1356,63835
1357,11394
1358,-13935
1359,-22862
1360,-15988
1361,-73116
1362,-88360
1363,-87950
1364,-83319
1365,-83340
1366,-65150
1367,-52920
1368,-65316
1369,-74403
1370,-64396
1371,-21854
1372,-17657
1373,23576
1374,54021
1375,55476
1376,98865
1377,117016
1378,107924
1379,122025
1380,90846
1381,83572
1382,69602
1383,41064
1384,-3263
1385,-26962
1386,-21733
1387,-51052
1388,-58032
1389,-97974
1390,-73644
1391,-99883
1392,-114459
1393,-82700
1394,-77793
1395,-75689
1396,-67018
1397,-33037
1398,-12334
1399,51475
1400,53826
1401,60709
1402,96951
1403,89584
1404,94049
1405,94683
1406,113661
1407,71113
1408,39681
1409,22566
1410,22220
1411,19252
1412,-21762
1413,-62869
1414,-62507
1415,-81797
1416,-113880
1417,-102809
1418,-89019
1419,-93599
1420,-70601
1421,-38028
1422,-32139
1423,-15081
1424,1770
1425,30093
1426,36442
1427,77131
1428,118029
1429,117253
1430,109233
1431,109967
1432,70616
1433,55763
1434,46126
1435,20440
1436,14400
1437,-10378
1438,-50448
1439,-75867
1440,-94236
1441,-83694
1442,-83790
1443,-89944
1444,-101147
1445,-91466
1446,-52541
1447,-48628
1448,-5960
1449,15475
1450,50372
1451,73431
1452,51639
1453,77035
1454,102995
1455,80137
1456,104868
1457,129394
1458,64415
1459,52647
1460,9341
1461,-10261
1462,-13250
1463,-67345
1464,-54846
1465,-92629
1466,-82904
1467,-100251
1468,-111710
1469,-80734
1470,-98646
1471,-57251
1472,-39257
1473,-15927
1474,13015
