n,ila
3981,-91306
3982,-62069
3983,-3180
3984,46209
3985,79980
3986,77075
3987,32212
3988,-17861
3989,-69396
3990,-95645
3991,-68381
3992,-4134
3993,57832
3994,88623
3995,93547
3996,60675
3997,-17667
3998,-69983
3999,-86699
4000,-64725
4001,-7309
4002,48540
4003,89504
4004,79645
4005,35966
4006,-15592
4007,-57671
4008,-64533
4009,-55154
4010,-19945
4011,54555
4012,117599
4013,124426
4014,63064
4015,-30683
4016,-96404
4017,-109753
4018,-86755
4019,-41721
4020,33630
4021,105391
4022,122713
4023,65787
4024,-19351
4025,-78343
4026,-109362
4027,-81291
4028,-25585
4029,23043
4030,77212
4031,96500
4032,50424
4033,-22264
4034,-87338
4035,-109786
4036,-69915
4037,-2124
4038,60300
4039,99130
4040,97155
4041,42279
4042,-24810
4043,-84136
4044,-108331
4045,-74281
4046,-13968
4047,50990
4048,82992
4049,84586
4050,52633
4051,-7483
4052,-63400
4053,-98713
4054,-84511
4055,-24255
4056,45788
4057,86703
4058,90809
4059,51233
4060,-34652
4061,-93604
4062,-107502
4063,-73727
4064,6782
4065,76125
4066,113446
4067,82725
4068,23228
4069,-44197
4070,-89545
4071,-85687
4072,-49938
4073,23671
4074,72142
4075,81040
4076,65448
4077,26468
4078,-31134
4079,-85632
4080,-92560
4081,-56597
4082,10842
4083,77449
4084,80837
4085,47222
4086,13307
4087,-41315
4088,-78411
4089,-81150
4090,-50242
4091,17445
4092,72279
4093,88983
4094,67143
4095,19913
4096,-46876
4097,-104849
4098,-96853
4099,-39992
4100,21690
4101,70179
4102,81176
4103,51745
4104,-6071
4105,-69268
4106,-98699
4107,-81041
4108,-27588
4109,42627
4110,99927
4111,103355
4112,58315
4113,-14933
4114,-82387
4115,-92166
4116,-64292
4117,-6464
4118,59629
4119,73854
4120,68811
4121,37192
4122,-25831
4123,-78082
4124,-97743
4125,-65860
4126,-333
4127,64159
4128,97667
4129,86939
4130,24213
4131,-46583
4132,-67134
4133,-61879
4134,-25227
4135,21948
4136,44803
4137,71597
4138,58901
4139,-2188
4140,-50139
4141,-80917
4142,-78188
4143,-27562
4144,28665
4145,71231
4146,91762
4147,62559
4148,1494
4149,-49209
4150,-97184
4151,-95350
4152,-26670
4153,39054
4154,86989
4155,79082
4156,22533
4157,-20876
4158,-65828
4159,-90510
4160,-68197
4161,-24603
4162,49792
4163,113278
4164,99538
4165,31633
4166,-62045
4167,-101831
4168,-60689
4169,-19950
4170,43019
4171,100542
4172,104804
4173,70936
4174,-6946
4175,-80008
4176,-105864
4177,-85294
4178,-13290
4179,72982
4180,119369
4181,112315
4182,39952
4183,-51195
4184,-103841
4185,-110357
4186,-57448
4187,25536
4188,78562
4189,86057
4190,64780
4191,13421
4192,-55249
4193,-96121
4194,-97662
4195,-49732
4196,30510
4197,84600
4198,86904
4199,37280
4200,-14005
4201,-46649
4202,-76496
4203,-64663
4204,-19728
4205,28901
4206,85548
4207,98049
4208,42578
4209,-46837
4210,-114402
4211,-103381
4212,-48617
4213,29210
4214,89964
4215,91061
4216,57746
4217,-11020
4218,-83402
4219,-105168
4220,-93741
4221,-42744
4222,41063
4223,103685
4224,115322
4225,58847
4226,-29048
4227,-87723
4228,-92001
4229,-49706
4230,2845
4231,56375
4232,80844
4233,72422
4234,22248
4235,-54682
4236,-85710
4237,-83094
4238,-38802
4239,34216
4240,76202
4241,89445
4242,52938
4243,-23540
4244,-77931
4245,-85510
4246,-48379
4247,8804
4248,53268
4249,71157
4250,56737
4251,5138
4252,-70349
4253,-113963
4254,-102141
4255,-43206
4256,52080
4257,118392
4258,124413
4259,72808
4260,-23567
4261,-92990
4262,-105900
4263,-67745
4264,4345
4265,70739
4266,104616
4267,81536
4268,14629
4269,-59993
4270,-108054
4271,-90092
4272,-21839
4273,46748
4274,99899
4275,106034
4276,50732
4277,-19471
4278,-81585
4279,-102445
4280,-55929
4281,12920
4282,79393
4283,115023
4284,81027
4285,6996
4286,-69166
4287,-111525
4288,-88075
4289,-23341
4290,52081
4291,95347
4292,71661
4293,3195
4294,-58351
4295,-82126
4296,-68776
4297,-26780
4298,24964
4299,76080
4300,108063
4301,75916
4302,1830
4303,-72991
4304,-105909
4305,-76552
4306,-18305
4307,42147
4308,80797
4309,80674
4310,34191
4311,-30819
4312,-84368
4313,-104239
4314,-56153
4315,26731
4316,86903
4317,113056
4318,64438
4319,-28685
4320,-84222
4321,-102253
4322,-69942
4323,312
4324,54435
4325,87237
4326,85226
4327,32389
4328,-31648
4329,-73582
4330,-72958
4331,-25483
4332,35278
4333,83675
4334,78372
4335,17416
4336,-46653
4337,-89730
4338,-81344
4339,-26328
4340,40521
4341,98675
4342,100515
4343,48470
4344,-20661
4345,-81873
4346,-104813
4347,-66074
4348,-2681
4349,55561
4350,94383
4351,72247
4352,9365
4353,-52338
4354,-103740
4355,-105471
4356,-39987
4357,43394
4358,101703
4359,107229
4360,54313
4361,-29652
4362,-90371
4363,-93889
4364,-57560
4365,11631
4366,82996
4367,92849
4368,52548
4369,-8578
4370,-72302
4371,-93260
4372,-64311
4373,-10613
4374,61389
4375,111274
4376,78977
4377,1383
4378,-75297
4379,-118085
4380,-91446
4381,-22431
4382,57500
4383,105079
4384,88500
4385,28235
4386,-41356
4387,-81416
4388,-80429
4389,-32284
4390,43529
4391,88045
4392,83373
4393,23476
4394,-38528
4395,-75195
4396,-94522
4397,-57877
4398,7943
4399,72391
4400,101754
4401,63548
4402,-5750
4403,-72504
4404,-103835
4405,-78446
4406,-4398
4407,67763
4408,93165
4409,71340
4410,6655
4411,-60011
4412,-83386
4413,-60496
4414,999
4415,64157
4416,95632
4417,72004
4418,12776
4419,-54647
4420,-103742
4421,-85604
4422,-14556
4423,60347
4424,91135
4425,66693
4426,3179
4427,-60331
4428,-86036
4429,-68129
4430,-4111
4431,59156
4432,77915
4433,66413
4434,17994
4435,-42271
4436,-78995
4437,-79924
4438,-42304
4439,19075
4440,87934
4441,113146
4442,69457
4443,-15106
4444,-88811
4445,-94809
4446,-43973
4447,25290
4448,90844
4449,94460
4450,42662
4451,-19906
4452,-76233
4453,-89977
4454,-48627
4455,19035
4456,75142
4457,89031
4458,58585
4459,-1717
4460,-65401
4461,-91341
4462,-62847
4463,8230
4464,68094
4465,83987
4466,56220
4467,-4575
4468,-52818
4469,-81836
4470,-70668
4471,-2128
4472,91561
4473,130023
4474,90020
4475,-6562
4476,-88032
4477,-112128
4478,-84889
4479,-21674
4480,40755
4481,84825
4482,87723
4483,38253
4484,-43938
4485,-97880
4486,-90266
4487,-35034
4488,51875
4489,110820
4490,91085
4491,24664
4492,-54402
4493,-107397
4494,-90795
4495,-11507
4496,66883
4497,97611
4498,75880
4499,2374
4500,-62254
4501,-88477
4502,-73281
4503,-10184
4504,61277
4505,100034
4506,86590
4507,31998
4508,-37267
4509,-88055
4510,-97909
4511,-49654
4512,16248
4513,68590
4514,80668
4515,37116
4516,-25902
4517,-70559
4518,-69594
4519,-21033
4520,41240
4521,85822
4522,72892
4523,13741
4524,-43029
4525,-83356
4526,-81180
4527,-25543
4528,40475
4529,86124
4530,85562
4531,34999
4532,-36180
4533,-80866
4534,-82615
4535,-51281
4536,14815
4537,72254
4538,88213
4539,49474
4540,-39999
4541,-112170
4542,-101005
4543,-33035
4544,55714
4545,109929
4546,96340
4547,27680
4548,-65438
4549,-116880
4550,-95684
4551,-13790
4552,67074
4553,92059
4554,69043
4555,21829
4556,-32174
4557,-74596
4558,-70543
4559,-17362
4560,45385
4561,88214
4562,82954
4563,13138
4564,-52362
4565,-87358
4566,-76270
4567,-9253
4568,58087
4569,88428
4570,79861
4571,32840
4572,-40525
4573,-89376
4574,-88903
4575,-31488
4576,52852
4577,89114
4578,58177
4579,-5457
4580,-68363
4581,-92238
4582,-62817
4583,390
4584,61954
4585,87214
4586,64245
4587,-488
4588,-63381
4589,-83412
4590,-68057
4591,-729
4592,92397
4593,130894
4594,92424
4595,1096
4596,-103186
4597,-127376
4598,-61522
4599,20282
4600,90185
4601,105628
4602,44413
4603,-38348
4604,-98672
4605,-112056
4606,-52510
4607,41284
4608,108832
4609,110322
4610,46200
4611,-40916
4612,-102982
4613,-95228
4614,-33668
4615,31993
4616,84991
4617,93955
4618,47844
4619,-23690
4620,-91188
4621,-95018
4622,-22290
4623,60435
4624,109045
4625,95327
4626,18529
4627,-73280
4628,-122391
4629,-113019
4630,-23948
4631,92052
4632,122932
4633,81256
4634,-2394
4635,-80041
4636,-99449
4637,-73726
4638,-5476
4639,66173
4640,94017
4641,73259
4642,-9841
4643,-86826
4644,-94441
4645,-48844
4646,41135
4647,102311
4648,80054
4649,23150
4650,-51965
4651,-97477
4652,-80753
4653,-36028
4654,36748
4655,87511
4656,87862
4657,46180
4658,-41031
4659,-103953
4660,-93261
4661,-38077
4662,46501
4663,104328
4664,89146
4665,24757
4666,-50553
4667,-91877
4668,-67905
4669,4175
4670,74560
4671,96194
4672,53687
4673,-18847
4674,-83979
4675,-110092
4676,-76980
4677,7516
4678,81271
4679,102341
4680,66648
4681,-11848
4682,-84896
4683,-102428
4684,-49744
4685,23861
4686,78150
4687,91632
4688,38873
4689,-33608
4690,-86935
4691,-98293
4692,-40577
4693,45436
4694,109255
4695,98533
4696,19506
4697,-64748
4698,-112125
4699,-79908
4700,-4663
4701,59439
4702,91549
4703,57933
4704,-9615
4705,-74366
4706,-93454
4707,-32403
4708,40869
4709,70190
4710,64524
4711,33440
4712,-28798
4713,-88511
4714,-86249
4715,-29124
4716,41862
4717,89398
4718,84531
4719,24531
4720,-54646
4721,-94265
4722,-74814
4723,-8039
4724,68257
4725,99964
4726,63824
4727,-18997
4728,-91370
4729,-114913
4730,-65777
4731,36817
4732,108555
4733,103467
4734,37670
4735,-47116
4736,-93898
4737,-85590
4738,-25738
4739,62835
4740,95325
4741,73600
4742,13754
4743,-70014
4744,-97583
4745,-72100
4746,-6389
4747,79001
4748,107495
4749,67076
4750,-16548
4751,-94412
4752,-107335
4753,-49609
4754,38059
4755,97254
4756,94262
4757,27632
4758,-49452
4759,-87152
4760,-89825
4761,-27050
4762,64931
4763,106667
4764,80743
4765,3876
4766,-72340
4767,-95743
4768,-49762
4769,26881
4770,87562
4771,98148
4772,39263
4773,-49333
4774,-98811
4775,-91835
4776,-25876
4777,71192
4778,116811
4779,74871
4780,-3747
4781,-73512
4782,-106483
4783,-64403
4784,21038
4785,82371
4786,89612
4787,43318
4788,-30609
4789,-93804
4790,-102143
4791,-42105
4792,51027
4793,106548
4794,78260
4795,8948
4796,-61986
4797,-107141
4798,-74349
4799,9740
4800,83107
4801,112276
4802,63946
4803,-27559
4804,-93157
4805,-91333
4806,-30472
4807,49866
4808,103700
4809,84432
4810,26064
4811,-54241
4812,-105720
4813,-74082
4814,-16012
4815,61858
4816,105916
4817,62542
4818,-7967
4819,-84699
4820,-108609
4821,-38700
4822,46615
4823,97189
4824,89730
4825,20657
4826,-60754
4827,-100974
4828,-75938
4829,-1260
4830,73971
4831,105766
4832,78889
4833,-245
4834,-92696
4835,-113480
4836,-45642
4837,36237
4838,86461
4839,86523
4840,20857
4841,-65228
4842,-107926
4843,-85947
4844,383
4845,86284
4846,102867
4847,66594
4848,-6605
4849,-92950
4850,-109438
4851,-49126
4852,31511
4853,98097
4854,99184
4855,25578
4856,-72537
4857,-112731
4858,-66641
4859,2900
4860,64165
4861,86360
4862,56833
4863,-9787
4864,-74286
4865,-83185
4866,-33066
4867,39999
4868,84551
4869,66736
4870,-5855
4871,-85993
4872,-111387
4873,-61127
4874,25609
4875,92381
4876,102597
4877,53722
4878,-37156
4879,-93019
4880,-80937
4881,-9774
4882,70969
4883,96494
4884,76738
4885,12977
4886,-75087
4887,-100557
4888,-41768
4889,38596
4890,91569
4891,83130
4892,24761
4893,-40557
4894,-86485
4895,-71593
4896,504
4897,69357
4898,92238
4899,49936
4900,-33819
4901,-104030
4902,-110650
4903,-43041
4904,45586
4905,100445
4906,81151
4907,90
4908,-78370
4909,-105170
4910,-68092
4911,696
4912,75689
4913,102579
4914,43834
4915,-55782
4916,-107214
4917,-79711
4918,-13555
4919,66192
4920,100150
4921,56997
4922,-11481
4923,-63930
4924,-86292
4925,-46319
4926,30404
4927,85181
4928,82229
4929,16737
4930,-65303
4931,-98980
4932,-59034
4933,15213
4934,78738
4935,91723
4936,40145
4937,-37783
4938,-94598
4939,-79044
4940,-11847
4941,50600
4942,89445
4943,73018
4944,-1077
4945,-76925
4946,-92772
4947,-44254
4948,41199
4949,101531
4950,87651
4951,22863
4952,-63278
4953,-100010
4954,-64636
4955,10372
4956,84106
4957,88423
4958,30898
4959,-50320
4960,-102606
4961,-84375
4962,-6860
4963,84455
4964,115916
4965,68145
4966,-8663
4967,-73017
4968,-93133
4969,-39430
4970,46591
4971,89556
4972,70005
4973,4875
4974,-75973
4975,-104187
4976,-52250
4977,33234
4978,93780
4979,75258
4980,8739
4981,-64143
4982,-99076
4983,-74814
4984,-3762
4985,81286
4986,101117
4987,49822
4988,-44061
4989,-101952
4990,-83936
4991,-19919
4992,59298
4993,95082
4994,65021
4995,-9479
4996,-82108
4997,-96482
4998,-36506
4999,38781
5000,88101
5001,85158
5002,9521
5003,-72638
5004,-90633
5005,-42319
5006,33882
5007,95300
5008,84146
5009,9778
5010,-65614
5011,-103652
5012,-73456
5013,11324
5014,90514
5015,104574
5016,51230
5017,-31185
5018,-81332
5019,-75973
5020,-17619
5021,69987
5022,99836
5023,42715
5024,-39236
5025,-93756
5026,-78156
5027,-4618
5028,72215
5029,107825
5030,71441
5031,-9096
5032,-73345
5033,-90294
5034,-47762
5035,37032
5036,102641
5037,83357
5038,-1899
5039,-73162
5040,-95532
5041,-53985
5042,33875
5043,96577
5044,87867
5045,12059
5046,-71584
5047,-112350
5048,-82600
5049,21653
5050,102538
5051,97070
5052,28306
5053,-53734
5054,-98923
5055,-62711
5056,18053
5057,87247
5058,110488
5059,46291
5060,-51531
5061,-103039
5062,-89063
5063,-20565
5064,72149
5065,114576
5066,65226
5067,-13923
5068,-81847
5069,-96139
5070,-36732
5071,52992
5072,110441
5073,73573
5074,-12044
5075,-89302
5076,-110429
5077,-36095
5078,51952
5079,107219
5080,98914
5081,1041
5082,-85041
5083,-98194
5084,-41644
5085,42791
5086,97721
5087,83499
5088,1197
5089,-74739
5090,-96512
5091,-64491
5092,13435
5093,87669
5094,96704
5095,39165
5096,-44163
5097,-102004
5098,-69529
5099,28871
5100,98419
5101,96683
5102,29097
5103,-53389
5104,-91787
5105,-66315
5106,19416
5107,94186
5108,83561
5109,25579
5110,-40947
5111,-82258
5112,-62743
5113,3427
5114,72841
5115,84263
5116,33811
5117,-44956
5118,-99758
5119,-89158
5120,-25316
5121,77336
5122,122628
5123,50796
5124,-47485
5125,-99650
5126,-89696
5127,-3155
5128,83984
5129,96368
5130,34660
5131,-48877
5132,-98120
5133,-88001
5134,-13167
5135,66446
5136,94872
5137,47733
5138,-34284
5139,-94991
5140,-84098
5141,-15232
5142,58107
5143,104228
5144,57069
5145,-43945
5146,-96531
5147,-78085
5148,-8225
5149,76002
5150,104102
5151,55224
5152,-26784
5153,-90159
5154,-87032
5155,-21784
5156,60906
5157,102222
5158,67633
5159,-20361
5160,-110915
5161,-110510
5162,-15877
5163,58672
5164,97171
5165,74979
5166,-21196
5167,-90964
5168,-91407
5169,-26981
5170,53953
5171,96111
5172,66229
5173,-24334
5174,-93679
5175,-98495
5176,-28180
5177,70206
5178,113966
5179,68255
5180,-35380
5181,-113588
5182,-109559
5183,-28363
5184,53435
5185,83003
5186,43397
5187,-25361
5188,-84252
5189,-85670
5190,-15692
5191,68104
5192,106768
5193,72094
5194,-18662
5195,-98995
5196,-91405
5197,-18472
5198,80324
5199,115072
5200,50723
5201,-40516
5202,-87089
5203,-63465
5204,-4327
5205,62094
5206,92626
5207,46066
5208,-36710
5209,-96957
5210,-97219
5211,-26880
5212,65568
5213,112359
5214,62037
5215,-30356
5216,-101092
5217,-76881
5218,21569
5219,94575
5220,107765
5221,45750
5222,-41322
5223,-78651
5224,-61466
5225,7326
5226,94426
5227,107981
5228,30748
5229,-53494
5230,-94419
5231,-69039
5232,12565
5233,86034
5234,92021
5235,17094
5236,-57864
5237,-98654
5238,-59771
5239,30259
5240,77946
5241,87188
5242,38850
5243,-51110
5244,-109837
5245,-61077
5246,36604
5247,94249
5248,78874
5249,4532
5250,-75849
5251,-98279
5252,-52339
5253,48686
5254,125484
5255,89535
5256,5690
5257,-65527
5258,-86345
5259,-41142
5260,53084
5261,104563
5262,69363
5263,-20194
5264,-102584
5265,-107380
5266,-21197
5267,64361
5268,89150
5269,53889
5270,-22066
5271,-90130
5272,-105155
5273,-25881
5274,73103
5275,108597
5276,56334
5277,-42495
5278,-111863
5279,-91210
5280,1914
5281,73594
5282,78017
5283,35460
5284,-36827
5285,-96966
5286,-79487
5287,15544
5288,93833
5289,85260
5290,15522
5291,-71595
5292,-114293
5293,-73376
5294,17301
5295,92463
5296,87525
5297,-2473
5298,-82490
5299,-101600
5300,-42698
5301,48716
5302,91278
5303,76919
5304,9643
5305,-68358
5306,-91993
5307,-37632
5308,44859
5309,105926
5310,69946
5311,-18679
5312,-82111
5313,-74464
5314,-1768
5315,72216
5316,120801
5317,67265
5318,-39832
5319,-97641
5320,-68990
5321,19163
5322,90850
5323,100038
5324,40821
5325,-43035
5326,-89166
5327,-52200
5328,38094
5329,105120
5330,89864
5331,9958
5332,-68058
5333,-96121
5334,-53848
5335,32477
5336,101421
5337,81922
5338,-1085
5339,-76802
5340,-95684
5341,-32358
5342,52097
5343,80113
5344,30443
5345,-43845
5346,-100254
5347,-99216
5348,1087
5349,95928
5350,112636
5351,59670
5352,-38984
5353,-89686
5354,-65486
5355,5051
5356,79216
5357,89638
5358,21182
5359,-68731
5360,-98757
5361,-49744
5362,48975
5363,116679
5364,91914
5365,630
5366,-74478
5367,-84692
5368,-35640
5369,59155
5370,108792
5371,71461
5372,-13243
5373,-77230
5374,-72241
5375,-4024
5376,89601
5377,121372
5378,51620
5379,-50369
5380,-91515
5381,-69141
5382,11082
5383,80518
5384,76253
5385,21858
5386,-60563
5387,-89461
5388,-42236
5389,53328
5390,123200
5391,84343
5392,-13310
5393,-91101
5394,-106884
5395,-31316
5396,61043
5397,79895
5398,41116
5399,-31452
5400,-93141
5401,-81795
5402,10642
5403,93993
5404,92757
5405,28118
5406,-44948
5407,-84007
5408,-58038
5409,36468
5410,110525
5411,79975
5412,-10551
5413,-84802
5414,-101806
5415,-42243
5416,50464
5417,89646
5418,49130
5419,-29920
5420,-103597
5421,-97083
5422,-2802
5423,80719
5424,96562
5425,43652
5426,-42828
5427,-85846
5428,-38303
5429,42588
5430,99575
5431,86619
5432,-5135
5433,-97557
5434,-108532
5435,-44605
5436,42217
5437,82604
5438,29692
5439,-44003
5440,-88586
5441,-79134
5442,8578
5443,103355
5444,98668
5445,23443
5446,-54640
5447,-107293
5448,-56281
5449,56789
5450,111590
5451,81813
5452,4815
5453,-69872
5454,-81703
5455,-15232
5456,71496
5457,114568
5458,66560
5459,-41492
5460,-93220
5461,-66378
5462,1398
5463,84992
5464,111050
5465,29371
5466,-79415
5467,-100060
5468,-42406
5469,38460
5470,85096
5471,57123
5472,-27084
5473,-89973
5474,-91520
5475,-13439
5476,84957
5477,95165
5478,34124
5479,-55429
5480,-108616
5481,-80903
5482,470
5483,74205
5484,54331
5485,-29705
5486,-98631
5487,-111300
5488,-57040
5489,43473
5490,99283
5491,32202
5492,-60001
5493,-103732
5494,-86243
5495,-1542
5496,82140
5497,89881
5498,10176
5499,-76637
5500,-98046
5501,-50907
5502,44940
5503,97814
5504,50827
5505,-32478
5506,-108630
5507,-114438
5508,-15083
5509,82456
5510,96096
5511,27443
5512,-57956
5513,-96063
5514,-62387
5515,31163
5516,94830
5517,74296
5518,-8263
5519,-86800
5520,-88606
5521,-11818
5522,75721
5523,103705
5524,50768
5525,-36141
5526,-74681
5527,-45842
5528,39704
5529,103053
5530,75462
5531,-18867
5532,-107955
5533,-100558
5534,-29127
5535,54435
5536,108885
5537,51412
5538,-62174
5539,-113860
5540,-75097
5541,3547
5542,69610
5543,85060
5544,8106
5545,-91637
5546,-103158
5547,-41938
5548,48540
5549,97035
5550,52718
5551,-43625
5552,-90771
5553,-67773
5554,23664
5555,106802
5556,86663
5557,12173
5558,-72963
5559,-109041
5560,-36527
5561,62226
5562,90090
5563,62481
5564,-23197
5565,-91595
5566,-54139
5567,25274
5568,85599
5569,85434
5570,4874
5571,-93696
5572,-110797
5573,-32097
5574,56046
5575,104292
5576,75207
5577,-11146
5578,-82427
5579,-62994
5580,30652
5581,104139
5582,97847
5583,15346
5584,-68830
5585,-88593
5586,-20328
5587,67518
5588,103995
5589,54935
5590,-33419
5591,-84718
5592,-53861
5593,43412
5594,109174
5595,89772
5596,6540
5597,-77567
5598,-102859
5599,-29710
5600,71432
5601,92912
5602,43240
5603,-43045
5604,-98455
5605,-61251
5606,36698
5607,101749
5608,73596
5609,-409
5610,-70519
5611,-93967
5612,-25677
5613,78371
5614,107266
5615,33647
5616,-62960
5617,-95090
5618,-54932
5619,34894
5620,106098
5621,68518
5622,-17972
5623,-81281
5624,-84853
5625,-10729
5626,82593
5627,88549
5628,16266
5629,-60345
5630,-105658
5631,-40301
5632,68174
5633,101564
5634,64577
5635,-26640
5636,-112671
5637,-81663
5638,26982
5639,90418
5640,88028
5641,26062
5642,-66839
5643,-95072
5644,-27339
5645,63272
5646,94589
5647,41652
5648,-52296
5649,-104637
5650,-65068
5651,34237
5652,105889
5653,80626
5654,-10796
5655,-82632
5656,-90678
5657,-22383
5658,78615
5659,103437
5660,25975
5661,-74863
5662,-106574
5663,-52351
5664,34929
5665,86855
5666,54323
5667,-36159
5668,-105063
5669,-71165
5670,20999
5671,78676
5672,93509
5673,29487
5674,-79209
5675,-96343
5676,-22945
5677,69200
5678,88385
5679,26619
5680,-59134
5681,-112121
5682,-65270
5683,33774
5684,97030
5685,84855
5686,259
5687,-90514
5688,-72118
5689,25269
5690,92626
5691,83752
5692,15954
5693,-72465
5694,-101281
5695,-34470
5696,58248
5697,112345
5698,41776
5699,-68997
5700,-113219
5701,-76008
5702,12992
5703,71122
5704,61421
5705,-14854
5706,-90022
5707,-87176
5708,-11995
5709,98034
5710,117280
5711,14151
5712,-68982
5713,-93420
5714,-40067
5715,51061
5716,92250
5717,42996
5718,-55505
5719,-94058
5720,-51727
5721,35296
5722,106703
5723,78431
5724,-24793
5725,-94342
5726,-85136
5727,-13762
5728,70595
5729,81385
5730,7926
5731,-78708
5732,-105993
5733,-42494
5734,42389
5735,78672
5736,36980
5737,-53114
5738,-95620
5739,-47424
5740,47952
5741,108011
5742,80970
5743,-19134
5744,-98817
5745,-73401
5746,25301
5747,107216
5748,100505
5749,6023
5750,-79076
5751,-97166
5752,-34151
5753,63676
5754,84327
5755,24944
5756,-54952
5757,-91379
5758,-42390
5759,46756
5760,97441
5761,61011
5762,-29241
5763,-87038
5764,-68850
5765,23218
5766,101099
5767,72172
5768,-20239
5769,-87957
5770,-93377
5771,-14240
5772,95393
5773,95365
5774,4196
5775,-73848
5776,-104493
5777,-45214
5778,59970
5779,92865
5780,32701
5781,-66276
5782,-111403
5783,-65030
5784,28711
5785,96517
5786,53666
5787,-45966
5788,-98486
5789,-74279
5790,17585
5791,99409
5792,87414
5793,236
5794,-85435
5795,-94359
5796,-5725
5797,86135
5798,99879
5799,32522
5800,-61785
5801,-91402
5802,-34560
5803,60618
5804,93256
5805,36501
5806,-47457
5807,-95769
5808,-48786
5809,48875
5810,99435
5811,62028
5812,-33336
5813,-96218
5814,-74754
5815,16058
5816,90788
5817,78326
5818,-1290
5819,-87769
5820,-80265
5821,5482
5822,83571
5823,84276
5824,-1342
5825,-88544
5826,-99998
5827,-19806
5828,64821
5829,80376
5830,27462
5831,-70366
5832,-114002
5833,-54283
5834,41424
5835,90434
5836,45599
5837,-43301
5838,-91717
5839,-63113
5840,28682
5841,91806
5842,50359
5843,-47185
5844,-107908
5845,-76936
5846,22386
5847,103374
5848,83631
5849,-20809
5850,-96177
5851,-78357
5852,5555
5853,91025
5854,102470
5855,15383
5856,-83270
5857,-99457
5858,-29679
5859,61417
5860,86739
5861,20434
5862,-70782
5863,-90880
5864,-22965
5865,68806
5866,105409
5867,52360
5868,-48819
5869,-94796
5870,-39128
5871,59997
5872,110064
5873,62112
5874,-33063
5875,-92872
5876,-49900
5877,51658
5878,114482
5879,76848
5880,-22706
5881,-81555
5882,-55897
5883,33002
5884,102136
5885,86823
5886,-6514
5887,-86932
5888,-76898
5889,6930
5890,79617
5891,72966
5892,533
5893,-78831
5894,-93377
5895,-3790
5896,97035
5897,99117
5898,25724
5899,-57147
5900,-76452
5901,-9283
5902,72605
5903,85638
5904,13938
5905,-71630
5906,-96839
5907,-37082
5908,55496
5909,86736
5910,29421
5911,-53832
5912,-91053
5913,-46051
5914,46334
5915,89375
5916,48154
5917,-36057
5918,-95349
5919,-63301
5920,44683
5921,112376
5922,71724
5923,-35160
5924,-109400
5925,-74784
5926,31594
5927,103272
5928,70423
5929,-33855
5930,-105435
5931,-74077
5932,26197
5933,91149
5934,69179
5935,-20309
5936,-93369
5937,-73508
5938,11692
5939,94222
5940,92518
5941,-9297
5942,-100321
5943,-91513
5944,-3905
5945,80332
5946,91680
5947,11458
5948,-82579
5949,-90708
5950,-13097
5951,74562
5952,93199
5953,18062
5954,-71390
5955,-83384
5956,-2986
5957,92358
5958,103988
5959,22891
5960,-76131
5961,-106871
5962,-34722
5963,67335
5964,101962
5965,37377
5966,-69492
5967,-95990
5968,-24221
5969,66159
5970,95862
5971,36502
5972,-53773
5973,-84274
5974,-23739
5975,64027
5976,90449
5977,27811
5978,-60537
5979,-96206
5980,-38660
5981,59848
5982,99195
5983,33324
5984,-68088
5985,-100812
5986,-36154
5987,64447
5988,104718
5989,51242
5990,-38514
5991,-94595
5992,-49634
5993,58420
5994,113417
5995,57010
5996,-60828
5997,-114607
5998,-49812
5999,57699
6000,108732
6001,40934
6002,-70412
6003,-102652
6004,-50826
6005,45543
6006,103281
6007,48910
6008,-56004
6009,-106360
6010,-59334
6011,51201
6012,109417
6013,58866
6014,-39023
6015,-97284
6016,-56517
6017,38167
6018,98339
6019,55092
6020,-52431
6021,-105495
6022,-45666
6023,62036
6024,105791
6025,55344
6026,-49291
6027,-101945
6028,-38898
6029,67055
6030,119381
6031,63917
6032,-43736
6033,-97450
6034,-56624
6035,40945
6036,96944
6037,49476
6038,-55899
6039,-104662
6040,-57783
6041,34754
6042,98936
6043,62229
6044,-39820
6045,-106154
6046,-66947
6047,33516
6048,92572
6049,59762
6050,-39346
6051,-109820
6052,-64627
6053,49180
6054,93237
6055,42032
6056,-63829
6057,-116085
6058,-53373
6059,41859
6060,89404
6061,42041
6062,-70148
6063,-117152
6064,-50578
6065,44356
6066,95361
6067,56955
6068,-53122
6069,-96499
6070,-43633
6071,50935
6072,93298
6073,35709
6074,-53675
6075,-103540
6076,-47211
6077,66378
6078,111807
6079,37195
6080,-80921
6081,-102837
6082,-26124
6083,67462
6084,96013
6085,25054
6086,-71544
6087,-98966
6088,-29903
6089,69055
6090,102464
6091,35511
6092,-60623
6093,-91361
6094,-28027
6095,72150
6096,97238
6097,19034
6098,-79646
6099,-85398
6100,-4062
6101,73930
6102,85895
6103,8325
6104,-79131
6105,-86636
6106,-2644
6107,87250
6108,90185
6109,11494
6110,-77105
6111,-88663
6112,-3395
6113,84372
6114,82299
6115,7456
6116,-88037
6117,-97145
6118,6649
6119,97844
6120,94726
6121,-13828
6122,-106232
6123,-75048
6124,21191
6125,86753
6126,70318
6127,-14413
6128,-85320
6129,-70103
6130,25732
6131,108414
6132,71107
6133,-30088
6134,-87771
